Set,Price_Euro,Pieces,Minifigs
Batwing and The Riddler Heist,49.99,489,4.0
Batcave Clayface Invasion,99.99,1038,6.0
Captain America: Outriders Attack,19.99,167,4.0
War Machine Buster,34.99,362,4.0
Iron Man Hall of Armor,59.99,524,6.0
Avengers Ultimate Quinjet,79.99,838,6.0
Captain Marvel and The Skrull Attack,29.99,307,3.0
Molten Man Battle,29.99,294,3.0
Hydro-Man Attack,39.99,471,4.0
Stark Jet and the Drone Attack,69.99,504,4.0
Avengers Compound Battle,99.99,699,7.0
Spider-Man Car Chase,9.99,52,2.0
Spider-Man: Doc Ock Diamond Heist,29.99,150,3.0
Batman vs. The Riddler Robbery,9.99,59,2.0
Batman and The Joker Escape,39.99,171,4.0
1989 Batmobile,249.99,3306,3.0
Avengers Hulk Helicopter Rescue,59.99,482,5.0
Sith Trooper Bust,,484,
Captain Marvel and the Asis,,271,2.0
The Dark Knight of Gotham City,,427,1.0
Chinese New Year's Eve Dinner,,615,6.0
Dragon Dance,,622,5.0
Dragon Boat Race,49.99,643,15.0
Koi,44.99,293,
Shark Skin,14.99,31,
Splash Koi Skin,14.99,33,
Ink Koi Skin,14.99,33,
Boost Hub,79.99,1,
Colour & Distance Sensor,13.99,1,
Medium Linear Motor,16.99,1,
Train Motor,13.99,7,
Garmadon,,10,1.0
Garmadon,,10,1.0
Wu,,6,1.0
Wu,,6,1.0
Kai vs. Wyplash,,13,2.0
Kai vs. Wyplash,,13,2.0
Jay Vs. Lasha,,12,2.0
Jay vs. Lasha,,12,2.0
